error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.03700569103439614;0.03700569103439614;1.0;14.0;14.0;23.025;23.025;0.9690090244489447;dyn_prot_4_14_1;[20, 18, 16, 14];0.00425;0.00425;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.9381254725996435;0.9381254725996435;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.002222670959790375;0.006301214075582095;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.002222670959790375;0.006643964826229313;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.002222670959790375;0.002222670959790375;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.002222670959790375;0.002222670959790375;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.006301214075582095;0.002222670959790375;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.006643964826229313;0.002222670959790375;;;;;;;;;;;;;;;;;;;;;
IIXX;True;3.803378082918136e-06;0.0012888800688447887;;;;;;;;;;;;;;;;;;;;;
IIXX;False;3.803378082918136e-06;0.0015988908391824722;;;;;;;;;;;;;;;;;;;;;
IIXY;True;7.606756165836272e-06;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;7.606756165836272e-06;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;2.861728403508781e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;2.861728403508781e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;2.861728403508781e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;2.861728403508781e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;3.803378082918136e-06;3.803378082918136e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;3.803378082918136e-06;3.803378082918136e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;2.861728403508781e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;2.861728403508781e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;2.861728403508781e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;2.861728403508781e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;7.606756165836272e-06;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;7.606756165836272e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.0012888800688447887;3.803378082918136e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.0015988908391824722;3.803378082918136e-06;;;;;;;;;;;;;;;;;;;;;
IXXX;True;2.9048082172839524e-09;0.0;;;;;;;;;;;;;;;;;;;;;
IXXX;False;2.9048082172839524e-09;0.0;;;;;;;;;;;;;;;;;;;;;
