error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.030610190006350485;0.030610190006350485;1.0;14.0;14.0;23.025;23.025;0.9738156533682919;dyn_prot_4_14_1;[20, 18, 16, 14];0.00325;0.00325;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.9499388565725599;0.9499388565725599;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.0017069875469544037;0.004915161775120483;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.0017069875469544037;0.005262733154659239;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.0017069875469544037;0.0017069875469544037;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.0017069875469544037;0.0017069875469544037;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.004915161775120483;0.0017069875469544037;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.005262733154659239;0.0017069875469544037;;;;;;;;;;;;;;;;;;;;;
IIXX;True;2.230467450377722e-06;0.0010602033554223355;;;;;;;;;;;;;;;;;;;;;
IIXX;False;2.230467450377722e-06;0.0012975276474328327;;;;;;;;;;;;;;;;;;;;;
IIXY;True;4.460934900755444e-06;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;4.460934900755444e-06;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;1.7348067130021686e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;1.7348067130021686e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;1.7348067130021686e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;1.7348067130021686e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;2.230467450377722e-06;2.230467450377722e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;2.230467450377722e-06;2.230467450377722e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;1.7348067130021686e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;1.7348067130021686e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;1.7348067130021686e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;1.7348067130021686e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;4.460934900755444e-06;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;4.460934900755444e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.0010602033554223355;2.230467450377722e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.0012975276474328327;2.230467450377722e-06;;;;;;;;;;;;;;;;;;;;;
