error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.040154373902493025;0.040154373902493025;1.0;14.0;14.0;23.025;23.025;0.9665664718749882;dyn_prot_4_14_1;[20, 18, 16, 14];0.00475;0.00475;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.9322398337770917;0.9322398337770917;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.0024787625739263646;0.007001864348389678;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.0024787625739263646;0.007341897679194936;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.0024787625739263646;0.0024787625739263646;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.0024787625739263646;0.0024787625739263646;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.007001864348389678;0.0024787625739263646;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.007341897679194936;0.0024787625739263646;;;;;;;;;;;;;;;;;;;;;
IIXX;True;4.7440657583793426e-06;0.0014104593775929755;;;;;;;;;;;;;;;;;;;;;
IIXX;False;4.7440657583793426e-06;0.0017566792562775865;;;;;;;;;;;;;;;;;;;;;
IIXY;True;9.488131516758685e-06;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;9.488131516758685e-06;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;3.536615999687492e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;3.536615999687492e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;3.536615999687492e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;3.536615999687492e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;4.7440657583793426e-06;4.7440657583793426e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;4.7440657583793426e-06;4.7440657583793426e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;3.536615999687492e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;3.536615999687492e-05;0.0;;;;;;;;;;;;;;;;;;;;;
